src_ip,dst_ip,duration,src_bytes,dst_bytes,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,http_response_body_len
226.103.149.44,192.168.29.172,0.0,54,0,0,1,20,0,0,0
226.115.160.74,192.168.29.172,0.0,54,0,0,1,20,0,0,0
116.87.15.22,192.168.29.172,0.0,54,0,0,1,20,0,0,0
34.174.109.34,192.168.29.172,0.0,54,0,0,1,20,0,0,0
234.11.81.144,192.168.29.172,0.0,54,0,0,1,20,0,0,0
115.28.236.36,192.168.29.172,0.0,54,0,0,1,20,0,0,0
88.99.129.165,192.168.29.172,0.0,54,0,0,1,20,0,0,0
14.153.234.114,192.168.29.172,0.0,54,0,0,1,20,0,0,0
87.253.153.38,192.168.29.172,0.0,54,0,0,1,20,0,0,0
98.173.106.120,192.168.29.172,0.0,54,0,0,1,20,0,0,0
17.226.222.54,192.168.29.172,0.0,54,0,0,1,20,0,0,0
171.127.129.184,192.168.29.172,0.0,54,0,0,1,20,0,0,0
57.121.53.238,192.168.29.172,0.0,54,0,0,1,20,0,0,0
42.184.114.144,192.168.29.172,0.0,54,0,0,1,20,0,0,0
36.202.114.106,192.168.29.172,0.0,54,0,0,1,20,0,0,0
166.95.66.77,192.168.29.172,0.0,54,0,0,1,20,0,0,0
191.224.167.105,192.168.29.172,0.0,54,0,0,1,20,0,0,0
244.166.0.202,192.168.29.172,0.0,54,0,0,1,20,0,0,0
105.237.145.101,192.168.29.172,0.0,54,0,0,1,20,0,0,0
108.249.253.213,192.168.29.172,0.0,54,0,0,1,20,0,0,0
250.177.95.164,192.168.29.172,0.0,54,0,0,1,20,0,0,0
195.87.149.228,192.168.29.172,0.0,54,0,0,1,20,0,0,0
166.26.36.171,192.168.29.172,0.0,54,0,0,1,20,0,0,0
94.187.154.255,192.168.29.172,0.0,54,0,0,1,20,0,0,0
232.107.120.160,192.168.29.172,0.0,54,0,0,1,20,0,0,0
234.191.208.233,192.168.29.172,0.0,54,0,0,1,20,0,0,0
44.166.2.36,192.168.29.172,0.0,54,0,0,1,20,0,0,0
120.43.36.187,192.168.29.172,0.0,54,0,0,1,20,0,0,0
86.136.164.105,192.168.29.172,0.0,54,0,0,1,20,0,0,0
136.197.178.105,192.168.29.172,0.0,54,0,0,1,20,0,0,0
200.254.161.177,192.168.29.172,0.0,54,0,0,1,20,0,0,0
213.61.91.212,192.168.29.172,0.0,54,0,0,1,20,0,0,0
